BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
VN00519391,20200102,JDCV01,JDL VN COMPANY LIMITED,CAIS,HPH,HPH,INC,INC,P,2
VN00519270,20200102,JDCV01,JDL VN COMPANY LIMITED,JDLVN,HPH,HPH,INC,INC,P,1
VN00519069,20200102,JDCV01,JDL VN COMPANY LIMITED,JDLVN,HPH,HPH,INC,INC,P,1
MY00375837,20200102,JFSM11,JOHANN FREIGHT SDN BHD,OLEON (ASIA-PACIFIC) SDN BHD,PKG,PKG,DLC,DLC,P,1
MY00375893,20200102,JFSM11,JOHANN FREIGHT SDN BHD,PERFORMANCE,PKG,PKG,OSA,OSA,P,1
MY00375876,20200102,JFSM11,JOHANN FREIGHT SDN BHD,PERFORMANCE,PKG,PKG,PUS,PUS,P,1
MY00375950,20200102,JFSM11,JOHANN FREIGHT SDN BHD,OLEON (ASIA-PACIFIC) SDN BHD,PKG,PKG,TYO,TYO,P,1
HK01069442,20200102,JPTH00,J.P.TRANS(H.K.)LIMITED,J.P.TRANS(HK)LTD,HKG,HKG,INC,INC,P,1
IN00236472,20200102,JR1101,J.R. ROADLINES PVT. LTD. ,OSWAL AGRIMPEX,MUN,MUN,PNC,PNC,C,46
IN00236469,20200102,JS0103,JSB CARGO MOVERS PVT. LTD.,MIRHA EXPORTS PVT. LTD. (PUNJA,LON,MUN,PKW,PKW,P,2
HK01069543,20200102,JSGZ01,JETER SHIPPING (GUANGZHOU) LTD ,JETER SHIPPING,HUA,HUA,BKK,BKK,P,1
HK01069541,20200102,JSGZ01,JETER SHIPPING (GUANGZHOU) LTD ,JETER SHIPPING,HUA,HUA,PKG,PKG,P,1
HK01069545,20200102,JSGZ01,JETER SHIPPING (GUANGZHOU) LTD ,JETER SHIPPING,HUA,HUA,PUS,PUS,P,1
HK01069542,20200102,JSGZ01,JETER SHIPPING (GUANGZHOU) LTD ,JETER SHIPPING,HUA,HUA,SGN,SGN,P,1
HK01069555,20200102,JSGZ01,JETER SHIPPING (GUANGZHOU) LTD ,JETERGZ,HUA,HUA,SGN,SGN,P,2
HK01069540,20200102,JSGZ01,JETER SHIPPING (GUANGZHOU) LTD ,JETER SHIPPING,HUA,HUA,SIN,SIN,P,2
TH00555256,20200102,JTP003,JATUPOL INTERNATIONAL SERVICE CO.,LTD,V.P.LOHAKIJ CO.,LTD.,BKK,BKK,PUS,PUS,P,1
MY00375943,20200102,JWFM01,JWF CONSOLIDATION SDN BHD,JWF CONSOLIDATION SDN BHD,PKG,PKG,HKG,HKG,P,1
MY00375946,20200102,JWFM01,JWF CONSOLIDATION SDN BHD,JWF CONSOLIDATION SDN BHD,PKG,PKG,SIN,SIN,P,2
HK01069386,20200102,JWGZ01,SHENZHEN JW INTERNATIONAL TRANSPORTATION CO.,LTD,JW,NNS,NNS,BKK,BKK,P,2
ID00589085,20200102,JWII01,PT.JAS WORLDWIDE INDONESIA,JKT24010677,JKT,JKT,KAN,KAN,P,2
VN00519030,20200102,KASV04,KMTC AIR-SEA SERVICE VIETNAM CO., LTD ,,SGN,SGN,PUS,PUS,P,2
VN00519042,20200102,KASV04,KMTC AIR-SEA SERVICE VIETNAM CO., LTD ,,SGN,SGN,PUS,PUS,P,4
VN00519043,20200102,KASV04,KMTC AIR-SEA SERVICE VIETNAM CO., LTD ,,SGN,SGN,PUS,PUS,P,1
VN00519273,20200102,KASV04,KMTC AIR-SEA SERVICE VIETNAM CO., LTD ,,SGN,SGN,SHA,SHA,P,1
VN00519155,20200102,KASV04,KMTC AIR-SEA SERVICE VIETNAM CO., LTD ,,SGN,SGN,USN,USN,P,3
IN00236462,20200102,KB0004,K B LOGISTICS SERVICES PVT LTD,VIJEY EXPORTERS,MAA,MAA,TAO,TAO,P,40
HK01069413,20200102,KCGZ00,KORCHINA INT'L LOGISTICS(SHANGHAI)CO.,LTD GUANGZHOU BRANCH,KORCHINA GZ,BJO,BJO,PKW,PKW,P,11
HK01069652,20200102,KCGZ00,KORCHINA INT'L LOGISTICS(SHANGHAI)CO.,LTD GUANGZHOU BRANCH,KORCHINA GZ,HWN,HWN,INC,INC,P,1
VN00519230,20200102,KCIV01,KC INTERNATIONAL LOGISTICS CO., LTD,KC INTERNATIONAL LOGISTICS CO.,HPH,HPH,INC,INC,P,2
VN00519296,20200102,KCIV01,KC INTERNATIONAL LOGISTICS CO., LTD,KC INTERNATIONAL LOGISTICS CO.,HPH,HPH,INC,INC,P,1
MY00375921,20200102,KCLM03,KORCHINA LOGISTICS (M) SDN BHD,KORCHINA,PKG,PKG,INC,INC,C,2
VN00519092,20200102,KCNV01,KORCHINA LOGISTICS (VIETNAM) CO.,LTD,,SGN,SGN,INC,INC,P,1
VN00519199,20200102,KCTV01,KCTC VIETNAM,,SGN,SGN,NGO,NGO,P,1
ID00588915,20200102,KCZI01,PT.KEMASINDO CEPAT NUSANTARA,PT. KEMASINDO CEPAT NUSANTARA,JKT,JKT,SGN,SGN,P,2
ID00588970,20200102,KELI04,PT.KERRY LOGISTICS INDONESIA,KERRY LOGISTICS,SUB,SUB,BKK,BKK,C,1
ID00589056,20200102,KEYM01,PT.KARTIKA EKA YUDHA MARITIM,PT. KARTIKA EKA YUDHA MARITIM,JKT,JKT,SHA,SHA,P,2
ID00589055,20200102,KEYM01,PT.KARTIKA EKA YUDHA MARITIM,PT. KARTIKA EKA YUDHA MARITIM,JKT,JKT,SHA,SHA,P,2
HK01069606,20200102,KFGZ03,KONFILL SHIPPING CO.,LTD GUANGZHOU BRANCH,KONFILL SHIPPING CO LTD,TPN,TPN,SGN,SGN,P,1
HK01069462,20200102,KFLH01,KORCHINA LOGISTICS (HK) LTD,KORCHINA,HKG,HKG,INC,INC,C,1
HK01069620,20200102,KFLH01,KORCHINA LOGISTICS (HK) LTD,KORCHINA,HKG,HKG,INC,INC,C,2
HK01069449,20200102,KFLH01,KORCHINA LOGISTICS (HK) LTD,KORCHINA,HKG,HKG,INC,INC,C,2
IN00236521,20200102,KG1201,KOTAK GLOBAL LOGISTICS PVT LTD,ADANI WILMAR LIMITED,MUN,MUN,HUA,HUA,P,4
IN00236519,20200102,KG1201,KOTAK GLOBAL LOGISTICS PVT LTD,PATIDAR EXPORTS,MUN,MUN,NBO,NBO,P,6
IN00236517,20200102,KI1202,KAUSHALI INTERNATIONAL,SHAKTI POLYWEAVE PVT. LTD.,AMD,MUN,PNC,PNC,P,2
VN00519364,20200102,KIHV12,KTL VINA,,HPH,HPH,INC,INC,C,1
VN00519056,20200102,KIHV12,KTL VINA,,HPH,HPH,INC,INC,C,2
TH00555335,20200102,KIN11T,KWE-KINTETSU WORLD EXPRESS (THAILAND) CO.,LTD. ,TIGERPOLY,BKK,BKK,HUA,HUA,P,1
TH00555341,20200102,KIN11T,KWE-KINTETSU WORLD EXPRESS (THAILAND) CO.,LTD. ,TIGERPOLY,BKK,BKK,HUA,HUA,P,1
ID00589095,20200102,KIXI02,PT.KEWALRAM INDONESIA,PT. KEWALRAM INDONESIA,JKT,JKT,PUS,PUS,P,1
VN00519213,20200102,KL0500,KL EXPRESS HN,,HPH,HPH,INC,INC,C,1
VN00519076,20200102,KL0500,KL EXPRESS HN,,HPH,HPH,INC,INC,C,1
VN00519335,20200102,KL0500,KL EXPRESS HN,,HPH,HPH,INC,INC,C,3
VN00519048,20200102,KL0500,KL EXPRESS HN,,HPH,HPH,INC,INC,C,1
VN00519304,20200102,KL0500,KL EXPRESS HN,,HPH,HPH,INC,INC,C,1
IN00236522,20200102,KL1201,KRITI NUTRIENTS LIMITED,,NSA,NSA,PNC,PNC,P,12
IN00236520,20200102,KL1201,KRITI NUTRIENTS LIMITED,,THI,NSA,PNC,PNC,P,4
IN00236523,20200102,KL1201,KRITI NUTRIENTS LIMITED,,NSA,NSA,UKB,UKB,P,7
SG00262057,20200102,KLSS01,KAWANISHI LOGISTICS (S) PTE LTD,WOODLANDS SUNNY FOODS PTE LTD,SIN,SIN,ISI,ISI,P,1
SG00262054,20200102,KLSS01,KAWANISHI LOGISTICS (S) PTE LTD,WOODLANDS SUNNY FOODS PTE LTD,SIN,SIN,OSA,OSA,P,3
SG00262111,20200102,KLSS01,KAWANISHI LOGISTICS (S) PTE LTD,KAWANISHI LOGISTICS (S) P/L,SIN,SIN,OSA,OSA,P,1
SG00262059,20200102,KLSS01,KAWANISHI LOGISTICS (S) PTE LTD,WOODLANDS SUNNY FOODS PTE LTD,SIN,SIN,OSA,OSA,P,1
SG00262056,20200102,KLSS01,KAWANISHI LOGISTICS (S) PTE LTD,WOODLANDS SUNNY FOODS PTE LTD,SIN,SIN,OSA,OSA,P,1
ID00589066,20200102,KLXI13,PT.KLX LOGIX,PT. KLX LOGIX,JKT,JKT,INC,INC,P,1
HK01069430,20200102,KNHH01,KUEHNE & NAGEL LTD.,,HKG,HKG,LCH,LCH,P,1
HK01069427,20200102,KNHH01,KUEHNE & NAGEL LTD.,,HKG,HKG,YOK,YOK,P,4
MY00375920,20200102,KNHM01,KUEHNE + NAGEL (M) SDN BHD,KUEHNE NAGEL SDN BHD ,PKG,PKG,SIN,SIN,P,4
MY00375917,20200102,KNHM01,KUEHNE + NAGEL (M) SDN BHD,KUEHNE NAGEL SDN BHD ,PKG,PKG,SIN,SIN,P,4
VN00519174,20200102,KNLV01,KORNET LOGISTICS,KORNET LOGISTICS,SGN,SGN,INC,INC,P,1
TH00555481,20200102,KOR13T,KORCHINA FREIGHT (THAILAND) CO.,LTD. (BRANCH00004),KORN THAI CO.,LTD.,BKK,BKK,INC,INC,C,1
VN00519026,20200102,KOSV01,KOSEI INTERNATIONAL CO.,LTD  ,,HPH,HPH,YAT,YAT,C,2
ID00588938,20200102,KPLI01,PT.KONESIA PROLOGIX LINE,KPL,JKT,JKT,INC,INC,P,1
ID00589006,20200102,KPLI01,PT.KONESIA PROLOGIX LINE,TIGA GUNUNG,JKT,JKT,PUS,PUS,C,3
VN00519044,20200102,KPLV00,KPL VIETNAM CO., LTD,,SGN,SGN,INC,INC,C,2
HK01069368,20200102,KSCH03,KONFILL SHIPPING CO.,LTD.,KONFILL SHIPPING CO LTD,HKG,HKG,PGU,PGU,P,20
HK01069367,20200102,KSCH03,KONFILL SHIPPING CO.,LTD.,KONFILL SHIPPING CO LTD,HKG,HKG,PKG,PKG,P,4
HK01069522,20200102,KSCH03,KONFILL SHIPPING CO.,LTD.,KONFILL SHIPPING CO LTD,HKG,HKG,UKB,UKB,P,3
HK01069408,20200102,KSLH02,KAVIN SHIPPING LTD,KAVIN,HKG,HKG,JKT,JKT,P,1
HK01069416,20200102,KSLH02,KAVIN SHIPPING LTD,KAVIN,HKG,HKG,JKT,JKT,P,1
HK01069438,20200102,KSLH02,KAVIN SHIPPING LTD,KAVIN,HKG,HKG,SIN,SIN,P,1
VN00519305,20200102,KTCV01,KONOIKE VINA,,SGN,SGN,BKK,BKK,P,1
VN00519303,20200102,KTCV01,KONOIKE VINA,,SGN,SGN,BKK,BKK,P,1
VN00519031,20200102,KTCV01,KONOIKE VINA,,SGN,SGN,INC,INC,P,2
VN00519332,20200102,KTLV01,KTL INTERNATIONAL ,,SGN,SGN,INC,INC,C,1
ID00589051,20200102,KWEI01,PT.KINTETSU WORLD EXPRESS INDONESIA,PT. KWE INDONESIA,JKT,JKT,MIZ,MIZ,P,2
ID00589048,20200102,KWEI01,PT.KINTETSU WORLD EXPRESS INDONESIA,PT. KWE INDONESIA,JKT,JKT,MIZ,MIZ,P,2
ID00589005,20200102,KWEI01,PT.KINTETSU WORLD EXPRESS INDONESIA,PT. UNIVERS,JKT,JKT,MYJ,MYJ,C,1
ID00589033,20200102,KWEI02,PT.KINTETSU WORLD EXPRESS INDONESIA,KINTETSU WORLD EXPRESS,SUB,SUB,OSA,OSA,P,1
HK01069512,20200102,KWLH00,KINGSWAY LOGISTICS COMPANY LIMITED,WAI MING HONG,HKG,HKG,JEA,JEA,P,2
VN00519099,20200102,KWLV01,KWONG LUNG-MEKO CO.,LTD.,,SGN,SGN,ISI,ISI,P,4
TH00555262,20200102,LCL100,LAEM CHABANG LOGISTICS CO.,LTD (BRANCH 00002),SIAM PROGRESS 51,BKK,BKK,HKG,HKG,P,2
VN00519373,20200102,LCSV12,LASER CARGO SERVICE JOINT STOCK COMPANY,,HPH,HPH,PUS,PUS,P,2
TH00555480,20200102,LEOG01,LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED.,ATAC CHEMICAL CO., LTD.,BKK,BKK,SGN,SGN,P,1
TH00555283,20200102,LEOG01,LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED.,THAI WAH,BKK,BKK,SHA,SHA,C,35
TH00555366,20200102,LES01T,LESCHACO (THAILAND) LTD.,MCCORMICK,LCH,LCH,SIN,SIN,P,2
HK01069422,20200102,LFHH04,LUCKY LOGISTICS GROUP LTD,LUCKY LOGISTICS GROUP LIMITED,HKG,HKG,INC,INC,P,2
HK01069583,20200102,LFHH04,LUCKY LOGISTICS GROUP LTD,LUCKY LOGISTICS GROUP LIMITED,HKG,HKG,INC,INC,P,2
HK01069590,20200102,LFHH04,LUCKY LOGISTICS GROUP LTD,LUCKY LOGISTICS GROUP LIMITED,HKG,HKG,INC,INC,P,1
IN00236500,20200102,LI0801,LINKEDIN LOGISTICS PARTNERS PVT. LTD.,LINKEDINLOGISTICS PARTNERS PVT,TKD,MUN,LCH,LCH,P,1
IN00236475,20200102,LI2601,LOGISTIC INTEGRATORS (I) PVT. LTD.,CRYSTAL QUINONE PVT. LTD.,AMD,MUN,XGG,XGG,P,1
TH00555518,20200102,LION03,LION TRANS CO.,LTD,MARUISHI CHEMICAL (THAILAND) ,BKK,BKK,SHA,SHA,P,3
ID00588973,20200102,LJSS01,PT.LANCAR JAYA SELARAS SEJAHTERA,CV SUKSES PUTERA,SUB,SUB,SHA,SHA,P,6
ID00588971,20200102,LJSS01,PT.LANCAR JAYA SELARAS SEJAHTERA,CV SUKSES PUTERA,SUB,SUB,SHA,SHA,P,6
ID00588979,20200102,LJSS01,PT.LANCAR JAYA SELARAS SEJAHTERA,PT JATIM SENTRA UTAMA,SUB,SUB,SHA,SHA,P,1
ID00588957,20200102,LJSS01,PT.LANCAR JAYA SELARAS SEJAHTERA,PT JATIM SENTRA UTAMA,SUB,SUB,SHA,SHA,P,2
IN00236502,20200102,LLIM04,LOM LOGISTICS INDIA PVT.LTD.,LOM LOGISTICS INDIA,NSA,NSA,PNC,PNC,C,1
MY00375839,20200102,LLSM02,LOM LOGISTICS SDN BHD,LOM LOGISTICS SDN BHD,PKW,PKW,PNC,PNC,C,1
MY00375792,20200102,LNLM00,L&L INTERNATIONAL LOGISTICS SDN BHD,SURIACHEM SDN BHD ,PKG,PKG,TMK,TMK,P,4
TH00555398,20200102,LOT02T,LOTUS FREIGHT AND SERVICES CORP.,LTD.,CHUA HAH SENG FOOD PRODUCTS CO,BKK,BKK,HKG,HKG,P,1
MY00375838,20200102,LRCM01,REGIONAL RUBBER TRADING CO PTE LTD,,PKG,PKG,SHA,SHA,P,2
HK01069483,20200102,LSGZ04,LONG SAIL INT'L LOGISTICS CO LTD,LONGSAIL INTERNATIONAL LOGISTI,NNS,NNS,INC,INC,P,2
HK01069593,20200102,LSIH15,LONG SAIL INT'L LOGISTICS CO.,LTD,LONGSAIL INTERNATIONAL LOGISTI,JMN,JMN,PUS,PUS,C,1
TH00555378,20200102,MAR32T,MARITIME ALLIANCE CO.,LTD.,KORN THAI,BKK,BKK,SHA,SHA,P,8
TH00555329,20200102,MARL02,MARCH LOGISTICS CO., LTD.,STARPRO,BKK,BKK,NBO,NBO,P,2
TH00555441,20200102,MASS07,MASS POWER LOGISTICS CO.,LTD.,SANYO KASEI (THAILAND) LTD.,LCH,LCH,SHA,SHA,P,2
TH00555442,20200102,MASS07,MASS POWER LOGISTICS CO.,LTD.,SANYO KASEI (THAILAND) LTD.,LCH,LCH,SHA,SHA,P,2
ID00588963,20200102,MCAI03,PT.MCA LOGISTIK INDONESIA,PT. MCA LOGISTIK INDONESIA ,JKT,JKT,MIP,MIP,P,14
ID00589014,20200102,MCAI03,PT.MCA LOGISTIK INDONESIA,PT. MCA LOGISTIK INDONESIA,JKT,JKT,MIP,MIP,P,2
HK01069434,20200102,MCMH03,MC MASTERINDO LOGISTICS LIMITED,MCML,HKG,HKG,JKT,JKT,P,1
IN00236489,20200102,MD0301,MODERN CARGO SERVICES PRIVATE LIMITED,MODERN CARGO SERVICES PVT. LT ,KKU,MUN,FKY,FKY,P,2
IN00236514,20200102,MD0301,MODERN CARGO SERVICES PRIVATE LIMITED,MODERN CARGO SERVICES PVT. LT ,KKU,MUN,FKY,FKY,P,1
IN00236507,20200102,MD0301,MODERN CARGO SERVICES PRIVATE LIMITED,MODERN CARGO SERVICES PVT. LT ,KKU,MUN,NGO,NGO,P,1
IN00236511,20200102,MD0301,MODERN CARGO SERVICES PRIVATE LIMITED,MODERN CARGO SERVICES PVT. LT ,KKU,MUN,OSA,OSA,P,2
MY00375906,20200102,MEGP00,MEGA JUPANIAGA SDN BHD,MEGA JUPANIAGA SDN BHD,PEN,PEN,TAO,TAO,P,2
MY00375795,20200102,MEMM01,MORRISON EXPRESS (M) SDN BHD,CRANBERRY ,PKG,PKG,NGO,NGO,P,1
TH00555306,20200102,MENT02,MENTOR FREIGHT INTERNATIONAL CO.,LTD. ,A.J.PLAST,LCH,LCH,SGN,SGN,P,2
IN00236533,20200102,META21,METALLOYS RECYCLING LTD,METALLOYS RECYCLING LIMITED,UME,NSA,NBO,NBO,P,4
ID00588907,20200102,MFII00,PT.MASTER FREIGHT INTERNATIONAL,PT DUA KUDA,JKT,JKT,INC,INC,P,10
ID00589028,20200102,MFII00,PT.MASTER FREIGHT INTERNATIONAL,PT DUA KUDA,JKT,JKT,INC,INC,P,22
HK01069595,20200102,MFLH01,MOU FUNG LTD.,MOU FUNG LTD.,HKG,HKG,TAO,TAO,P,1
TH00555389,20200102,MIC07T,MICHELIN SIAM CO LTD,MICHELIN SIAM CO LTD,LCH,LCH,DLC,DLC,P,4
TH00555393,20200102,MIC07T,MICHELIN SIAM CO LTD,MICHELIN SIAM CO LTD,LCH,LCH,DLC,DLC,P,6
HK01069403,20200102,MIGZ02,KMTC AIR-SEA SERVICE (CHINA) CO.,LTD.,KMTCN,XON,XON,INC,INC,C,2
MY00375798,20200102,MILM03,MINE LOGISTICS SDN BHD,SUPREME TROPICAL,PKW,PKW,KAN,KAN,P,1
ID00588985,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. BITRATEX INDUSTRIES,SRG,SRG,INC,INC,P,2
ID00588994,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. PRIMAYUDHA MANDIRIJAYA,SRG,SRG,INC,INC,P,2
ID00588984,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. BITRATEX INDUSTRIES,SRG,SRG,INC,INC,P,2
ID00588988,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. PRIMAYUDHA,SRG,SRG,INC,INC,P,2
ID00588989,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. BITRATEX INDUSTRIES,SRG,SRG,INC,INC,P,2
ID00588953,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT PRIMAYUDHA MANDIRIJAYA,SRG,SRG,INC,INC,P,2
ID00588956,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT PRIMAYUDHA MANDIRIJAYA,SRG,SRG,INC,INC,P,2
ID00588986,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. SRI REJEKI ISMAN TBK,SRG,SRG,KAN,KAN,P,2
ID00588982,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. BITRATEX INDUSTRIES,SRG,SRG,PNC,PNC,P,2
ID00588983,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. BITRATEX INDUSTRIES,SRG,SRG,PUS,PUS,P,2
ID00588987,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. BITRATEX INDUSTRIES,SRG,SRG,PUS,PUS,P,2
ID00588991,20200102,MILX01,PT. MULTI INTERNATIONAL LOGISTIC,PT. PRIMAYUDHA,SRG,SRG,SHA,SHA,P,1
ID00589115,20200102,MIPI22,PT.MULTIGUNA INTERNATIONAL PERSADA,CV. PRIMA JAYA ABADI,SUB,SUB,BKK,BKK,P,2
TH00555353,20200102,MIT05T,MITSUI-SOKO (THAILAND) CO.,LTD.,INOAC,BKK,BKK,STN,STN,P,1
ID00589100,20200102,MIXI21,PT.MACOLINE INDONESIA,SEAWAYBILL,JKT,JKT,PUS,PUS,P,8
ID00589058,20200102,MIXI24,PT.MORIUCHI INDONESIA,MORIUCHI,JKT,JKT,SHA,SHA,P,1
ID00589059,20200102,MIXI24,PT.MORIUCHI INDONESIA,MORIUCHI,JKT,JKT,SHA,SHA,P,1
VN00519231,20200102,MJCV01,MJ LOGISTICS (HANOI) CO.,LTD,SHINSOUNG,HPH,HPH,INC,INC,P,1
VN00519229,20200102,MJCV01,MJ LOGISTICS (HANOI) CO.,LTD,QUANG THOAI ,HPH,HPH,INC,INC,P,1
VN00519292,20200102,MJCV01,MJ LOGISTICS (HANOI) CO.,LTD,,HPH,HPH,SHK,SHK,P,1
VN00519314,20200102,MKPV01,MKP SHIPPING AGENCY  CO.,LTD,,SGN,SGN,INC,INC,P,2
VN00519057,20200102,MLCV03,MELODY LOGISTICS CO., LTD,,SGN,SGN,INC,INC,P,1
HK01069432,20200102,MLHL00,MJ LOGISTICS (HK) LIMITED,MJ LOGISTICS (HK) LTD.,HKG,HKG,INC,INC,P,1
HK01069457,20200102,MLHL00,MJ LOGISTICS (HK) LIMITED,MJ LOGISTICS (HK) LTD.,HKG,HKG,PUS,PUS,C,1
HK01069463,20200102,MLHL00,MJ LOGISTICS (HK) LIMITED,MJ LOGISTICS(SHANGHAI)LIMITED ,ZSN,ZSN,INC,INC,C,1
HK01069532,20200102,MLLH06,MAX LOGISTICS LTD.,MAX LOGISTICS LTD,HKG,HKG,INC,INC,P,9
HK01069518,20200102,MLLH06,MAX LOGISTICS LTD.,MAX LOGISTICS LTD,HKG,HKG,PUS,PUS,P,1
TH00555350,20200102,MMP05T,MMP LOGISTICS CO.,LTD,MMP LOGISTICS,BKK,BKK,HKG,HKG,P,1
MY00375785,20200102,MMSM01,MAC-NELS (MALAYSIA) SDN BHD (104688-U),MAC-NELS,PKG,PKG,SIN,SIN,P,2
MY00375772,20200102,MMSM01,MAC-NELS (MALAYSIA) SDN BHD (104688-U),MAC-NELS,PKG,PKG,SIN,SIN,P,2
MY00375773,20200102,MMSM01,MAC-NELS (MALAYSIA) SDN BHD (104688-U),MAC-NELS,PKG,PKG,SIN,SIN,P,2
MY00375774,20200102,MMSM01,MAC-NELS (MALAYSIA) SDN BHD (104688-U),MAC-NELS,PKG,PKG,SIN,SIN,P,2
VN00519341,20200102,MNSH18,MN SHIPPING CO LTD,MN SHIPPING,SGN,SGN,PUS,PUS,P,1
MY00375904,20200102,MNSM04,MAC-NELS (PENANG) SDN BHD,MAC-NELS (PENANG) SDN BHD,PEN,PEN,TAO,TAO,P,10
MY00375905,20200102,MNSM04,MAC-NELS (PENANG) SDN BHD,MAC-NELS (PENANG) SDN BHD,PEN,PEN,TAO,TAO,P,10
MY00375878,20200102,MPCM02,MPC EXPRESS SDN BHD,MPC EXPRESS SDN BHD,PGU,PGU,INC,INC,C,2
MY00375899,20200102,MPCM02,MPC EXPRESS SDN BHD,MPC EXPRESS SDN BHD,PGU,PGU,INC,INC,C,2
MY00375907,20200102,MPCM02,MPC EXPRESS SDN BHD,MPC EXPRESS SDN BHD,PGU,PGU,INC,INC,C,2
MY00375895,20200102,MPCM02,MPC EXPRESS SDN BHD,MPC EXPRESS SDN BHD,PGU,PGU,INC,INC,C,1
IN00236537,20200102,MS1207,MAZDA SHIPPING AND LOGISTICS,NANDAN DENIM LIMITED,AMD,MUN,INC,INC,P,1
HK01069523,20200102,MSGZ01,GUANGZHOU MINSHENG INTERNATIONAL FREIGHT CO.,LTD,GUANGZHOU MINSHENG INTERNATION,HUA,HUA,SIN,SIN,P,1
MY00375830,20200102,MSMM12,MITSUI-SOKO (MALAYSIA) SDN BHD,MITSUI-SOKO (M) SDN BHD,PEN,PEN,ONA,ONA,C,4
ID00588947,20200102,MTPI04,PT.MITRA TRANSINDO PERKASA,MTIKR2001001,JKT,JKT,PUS,PUS,C,1
HK01069503,20200102,MWGZ01,MAXTOP WORLDWIDE LOGISTICS(GZ)LTD.,MAXTOP,SSN,SSN,JKT,JKT,P,1
HK01069370,20200102,MWGZ01,MAXTOP WORLDWIDE LOGISTICS(GZ)LTD.,MAXTOP,WUZ,WUZ,MAA,MAA,P,1
HK01069553,20200102,MWLH02,MAXTOP WORLDWIDE LOGISTICS (GZ) LTD.,MAXTOP,HKG,HKG,SIN,SIN,P,1
TH00555486,20200102,NAT01T,NATIONAL STARCH AND CHEMICAL (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD,LCH,LCH,PUS,PUS,P,17
TH00555355,20200102,NCL01T,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED.,TEPPITAK SEAFOOD,BKK,BKK,INC,INC,P,2
TH00555363,20200102,NCL01T,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED.,TEPPITAK SEAFOOD,BKK,BKK,INC,INC,P,2
ID00588894,20200102,NCSI01,PT.NCS LINE WORLDWIDE,PT. NCS LINE WORLD WIDE,JKT,JKT,SGN,SGN,P,1
ID00588998,20200102,NDTI01,PT.NADITAMA TRANCY LOGISTICS INDONESIA,PT.MARSOL ABADI INDONESIA,JKT,JKT,MIP,MIP,P,2
VN00519132,20200102,NECV00,NIPPON EXPRESS (VIETNAM) CO.,LTD,,SGN,SGN,BKK,BKK,P,1
VN00519198,20200102,NECV00,NIPPON EXPRESS (VIETNAM) CO.,LTD,,SGN,SGN,JKT,JKT,P,1
VN00519195,20200102,NECV00,NIPPON EXPRESS (VIETNAM) CO.,LTD,,SGN,SGN,LCH,LCH,P,1
VN00519197,20200102,NECV00,NIPPON EXPRESS (VIETNAM) CO.,LTD,,SGN,SGN,LCH,LCH,P,1
VN00519350,20200102,NECV05,NIPPON EXPRESS (VN) CO., LTD - HANOI BR,,HPH,HPH,FKY,FKY,P,4
VN00519325,20200102,NECV05,NIPPON EXPRESS (VN) CO., LTD - HANOI BR,,HPH,HPH,FKY,FKY,P,4
HK01069501,20200102,NEHH01,NIPPON EXPRESS (H.K.) CO. LTD,NIPPON EXPRESS (HK) CO LTD,HKG,HKG,HSM,HSM,P,2
HK01069431,20200102,NEHH01,NIPPON EXPRESS (H.K.) CO. LTD,NIPPON EXPRESS (H.K.) CO.,LTD,HKG,HKG,INC,INC,P,2
HK01069493,20200102,NEHH01,NIPPON EXPRESS (H.K.) CO. LTD,NIPPON EXPRESS (H.K.) CO.,LTD,HKG,HKG,INC,INC,P,2
HK01069618,20200102,NEHH01,NIPPON EXPRESS (H.K.) CO. LTD,NIPPON EXPRESS (HK) CO LTD,HKG,HKG,SDJ,SDJ,P,1
ID00588974,20200102,NEII06,PT. NOAH LOGISTIK INDONESIA,PT NANDI INDONESIA,JKT,JKT,SGN,SGN,P,1
MY00375831,20200102,NEM002,NIPPON EXPRESS (M) SDN. BHD.,NIPPON EXPRESS (M) SDN BHD,PEN,PEN,PUS,PUS,P,2
