BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
ID00588908,20200102,BFWI01,PT.BAKHTERA FREIGHT WORLDWIDE,CRBINC,JKT,JKT,INC,INC,C,2
ID00588909,20200102,BFWI01,PT.BAKHTERA FREIGHT WORLDWIDE,CRBINC,JKT,JKT,INC,INC,C,2
ID00588910,20200102,BFWI01,PT.BAKHTERA FREIGHT WORLDWIDE,CRBINC,JKT,JKT,INC,INC,C,2
ID00588913,20200102,BFWI01,PT.BAKHTERA FREIGHT WORLDWIDE,CRBINC,JKT,JKT,INC,INC,C,2
ID00588916,20200102,BFWI01,PT.BAKHTERA FREIGHT WORLDWIDE,CRBINC,JKT,JKT,INC,INC,C,2
HK01069650,20200102,BHKH08,BESCON HONG KONG CO., LTD.,BESCON HONG KONG CO., LTD.,HKG,HKG,KAN,KAN,C,1
ID00589062,20200102,BIII00,PT BENTOEL PRIMA,4904-0107-912.024,SUB,SUB,PNC,PNC,P,6
ID00589069,20200102,BIII00,PT BENTOEL PRIMA,4904-0107-001.011,SUB,SUB,PNC,PNC,P,6
ID00589071,20200102,BIII00,PT BENTOEL PRIMA,4904-0107-001.012,SUB,SUB,PNC,PNC,P,6
ID00589065,20200102,BIII00,PT BENTOEL PRIMA,4904-0107-912.025,SUB,SUB,PNC,PNC,P,6
ID00589073,20200102,BIII00,PT BENTOEL PRIMA,4904-0107-001.013,SUB,SUB,PUS,PUS,P,2
TH00555466,20200102,BIR03T,ADITYA BIRLA CHEMICALS (THAILAND) LTD. (BRANCH 0008),INDO-THAI SYNTHETICS CO.,LTD.,BKK,BKK,INC,INC,P,2
TH00555465,20200102,BIR03T,ADITYA BIRLA CHEMICALS (THAILAND) LTD. (BRANCH 0008),INDO-THAI SYNTHETICS CO.,LTD.,BKK,BKK,INC,INC,P,2
HK01069372,20200102,BLGZ01,BRILLIANT LOGISTICS CO.,LTD,BRILLIANT LOGISTICS CO., LTD.,JMN,JMN,BKK,BKK,P,2
VN00519208,20200102,BLLV01,BINH PHUONG LE LOGISTICS AND TRADING CO., LTD,,SGN,SGN,BKK,BKK,P,12
VN00519050,20200102,BLSV00,BLS VIET NAM CO.,LTD,,SGN,SGN,PUS,PUS,P,2
MY00375815,20200102,BMSM11,BDP (MALAYSIA) SDN BHD,STEELCASE MANUFACTURING,PKW,PKW,MIP,MIP,P,1
